split_id,model,train_years,val_years,test_years,mae,rmse
1,GRU,2010-2011-2012-2013-2014,2015,2016,0.009645232131277165,0.01199160520677097
2,GRU,2011-2012-2013-2014-2015,2016,2017,0.007756040673189716,0.008875534719040274
3,GRU,2012-2013-2014-2015-2016,2017,2018,0.004479877707777258,0.005148542583464378
4,GRU,2013-2014-2015-2016-2017,2018,2019,0.00296341497536864,0.0038747115855813107
5,GRU,2014-2015-2016-2017-2018,2019,2020,0.0038653860810584457,0.005055475291069423
6,GRU,2015-2016-2017-2018-2019,2020,2021,0.0035244978141027294,0.004378290250994827
7,GRU,2016-2017-2018-2019-2020,2021,2022,0.014223115717101022,0.01670196519323296
8,GRU,2017-2018-2019-2020-2021,2022,2023,0.024860383158241257,0.025567562196858174
9,GRU,2018-2019-2020-2021-2022,2023,2024,0.01021721208273748,0.011840516484233829
10,GRU,2019-2020-2021-2022-2023,2024,2025,0.0060715787893004846,0.007841652400210288
