split_id,model,train_years,val_years,test_years,mae,rmse
1,LSTM,2010-2011-2012-2013-2014,2015,2016,0.007712736920084721,0.00903246335853341
2,LSTM,2011-2012-2013-2014-2015,2016,2017,0.003077000023860757,0.0037234424613945727
3,LSTM,2012-2013-2014-2015-2016,2017,2018,0.005047051153056073,0.00596929975020564
4,LSTM,2013-2014-2015-2016-2017,2018,2019,0.005315809941290891,0.006049490234144328
5,LSTM,2014-2015-2016-2017-2018,2019,2020,0.004889233184594169,0.00624949972044789
6,LSTM,2015-2016-2017-2018-2019,2020,2021,0.003728143418492187,0.004683895338269702
7,LSTM,2016-2017-2018-2019-2020,2021,2022,0.0038540368816707827,0.004816421527804026
8,LSTM,2017-2018-2019-2020-2021,2022,2023,0.016752048421342716,0.017190180640120633
9,LSTM,2018-2019-2020-2021-2022,2023,2024,0.008099404124913145,0.00924348137651242
10,LSTM,2019-2020-2021-2022-2023,2024,2025,0.005983096831689768,0.007406543078347309
