split_id,model,train_years,val_years,test_years,mae,rmse
1,LSTM,2010-2011-2012-2013-2014,2015,2016,0.007712736920084721,0.00903246335853341
2,LSTM,2011-2012-2013-2014-2015,2016,2017,0.003077000023860757,0.0037234424613945727
3,LSTM,2012-2013-2014-2015-2016,2017,2018,0.005047051153056073,0.00596929975020564
4,LSTM,2013-2014-2015-2016-2017,2018,2019,0.005315809941290891,0.006049490234144328
5,LSTM,2014-2015-2016-2017-2018,2019,2020,0.004889233184594169,0.00624949972044789
6,LSTM,2015-2016-2017-2018-2019,2020,2021,0.003728143418492187,0.004683895338269702
7,LSTM,2016-2017-2018-2019-2020,2021,2022,0.0038540368816707827,0.004816421527804026
8,LSTM,2017-2018-2019-2020-2021,2022,2023,0.016752048421342716,0.017190180640120633
9,LSTM,2018-2019-2020-2021-2022,2023,2024,0.008099404124913145,0.00924348137651242
10,LSTM,2019-2020-2021-2022-2023,2024,2025,0.005983096831689768,0.007406543078347309
1,GRU,2010-2011-2012-2013-2014,2015,2016,0.009645232131277165,0.01199160520677097
2,GRU,2011-2012-2013-2014-2015,2016,2017,0.007756040673189716,0.008875534719040274
3,GRU,2012-2013-2014-2015-2016,2017,2018,0.004479877707777258,0.005148542583464378
4,GRU,2013-2014-2015-2016-2017,2018,2019,0.00296341497536864,0.0038747115855813107
5,GRU,2014-2015-2016-2017-2018,2019,2020,0.0038653860810584457,0.005055475291069423
6,GRU,2015-2016-2017-2018-2019,2020,2021,0.0035244978141027294,0.004378290250994827
7,GRU,2016-2017-2018-2019-2020,2021,2022,0.014223115717101022,0.01670196519323296
8,GRU,2017-2018-2019-2020-2021,2022,2023,0.024860383158241257,0.025567562196858174
9,GRU,2018-2019-2020-2021-2022,2023,2024,0.01021721208273748,0.011840516484233829
10,GRU,2019-2020-2021-2022-2023,2024,2025,0.0060715787893004846,0.007841652400210288
