Modelo,Variable,Aumento promedio RMSE,Desv. aumento RMSE,RMSE base promedio,Importancia relativa (%),Importancia relativa positiva (%),Splits
GRU,Volatilidad histórica 21D,0.000367,0.001039,0.010128,3.623761,3.623761,10
GRU,Tasa EE. UU. 10Y,0.000353,0.000869,0.010128,3.48247,3.48247,10
GRU,Diferencial tasas 10Y,0.000195,0.000359,0.010128,1.923923,1.923923,10
GRU,Momentum EUR/USD 21D,0.000107,0.000491,0.010128,1.058479,1.058479,10
GRU,Retorno DXY,4.5e-05,0.00028,0.010128,0.439571,0.439571,10
GRU,Retorno EUR/USD,4.3e-05,0.000196,0.010128,0.42235,0.42235,10
GRU,Tasa eurozona 10Y,3.9e-05,0.000501,0.010128,0.382011,0.382011,10
GRU,Desviación media móvil 21D,2.7e-05,0.000562,0.010128,0.266909,0.266909,10
GRU,Retorno VIX,9e-06,0.000161,0.010128,0.090218,0.090218,10
GRU,Retorno WTI,-4e-06,0.000413,0.010128,-0.043039,0.0,10
LSTM,Tasa eurozona 10Y,0.00082,0.002319,0.007436,11.024716,11.024716,10
LSTM,Tasa EE. UU. 10Y,0.000382,0.000841,0.007436,5.14123,5.14123,10
LSTM,Momentum EUR/USD 21D,0.000373,0.001178,0.007436,5.010554,5.010554,10
LSTM,Desviación media móvil 21D,0.000314,0.000559,0.007436,4.219091,4.219091,10
LSTM,Volatilidad histórica 21D,0.000129,0.00065,0.007436,1.739178,1.739178,10
LSTM,Retorno EUR/USD,0.000117,0.000169,0.007436,1.571326,1.571326,10
LSTM,Retorno DXY,8.9e-05,9.4e-05,0.007436,1.201043,1.201043,10
LSTM,Retorno VIX,7.3e-05,9.6e-05,0.007436,0.983153,0.983153,10
LSTM,Retorno WTI,5e-05,9.6e-05,0.007436,0.670763,0.670763,10
LSTM,Diferencial tasas 10Y,3.9e-05,0.000118,0.007436,0.518358,0.518358,10
